Date of Final Decision;Submission Number;Device;Company;Panel (Lead);Primary Product Code;Predicate Device
03.10.2023;K231772;V8/H8 Diagnostic Ultrasound System, V7/H7 Diagnostic Ultrasound System, V6/H6 Diagnostic Ultrasound System;Samsung Medison Co., Ltd.;Radiology;IYN;K223387
03.10.2023;K232712;uMI Panorama;Shanghai United Imaging Healthcare Co., Ltd.;Radiology;KPS;K223325
29.09.2023;K230045;HipCheck;Stryker Corp.;Radiology;QIH;K182359
28.09.2023;K232699;Low Ejection Fraction AI-ECG Algorithm;Anumana, Inc.;Cardiovascular;QYE;DEN230003
28.09.2023;K231837;Brainomix 360 Triage LVO;Brainomix Limited;Radiology;QAS;K223042
27.09.2023;K232616;Volta AF-Xplorer;Volta Medical;Cardiovascular;DQK;K223516 , K201298
26.09.2023;K230252;OFIX MIS App;Orthofix US LLC;Radiology;LLZ;K212005
25.09.2023;K231928;EFAI RTSUITE CT HCAP-Segmentation System;Ever Fortune.AI Co., Ltd.;Radiology;QKB;K220264
22.09.2023;K223659;Jazz;AI Medical AG;Radiology;LLZ;K192130
22.09.2023;K231384;Annalise Enterprise CTB Triage Trauma;Annalise-AI Pty Ltd.;Radiology;QAS;K193351
22.09.2023;K231767;Annalise Enterprise CTB Triage Trauma;Annalise-AI Pty Ltd;Radiology;QAS;K223240
22.09.2023;K231149;qXR-CTR;Qure.ai Technologies;Radiology;QIH;K212624
21.09.2023;K231678;Overjet Periapical Radiolucency Assist;Overjet, Inc;Radiology;MYN;K221921
19.09.2023;K231281;Aquilion Serve (TSX-307A/1) V1.3;Canon Medical Systems Corporation;Radiology;JAK;K222819
19.09.2023;K221309;AI100 with Shonit;SigTuple Technologies Pvt. Ltd.;Hematology;JOY;K200595
14.09.2023;K220034;NEUROShield;In-Med Prognostics L3C;Radiology;LLZ;K170981
13.09.2023;K223811;Lung-CAD;Imagen Technologies, Inc;Radiology;MYN;K230085
12.09.2023;K232526;XIDF-AWS801, Angio Workstation (Alphenix Workstation), V9.5;Canon Medical Systems Corporation;Radiology;JAA;K220342
12.09.2023;K231748;Cartesion Prime (PCD-1000A/3) V10.15;Canon Medical Systems Corporation;Radiology;KPS;K203314 , K180318
09.09.2023;K223864;Alignment System Cranial, Alignment Software Cranial, Cirq Alignment Software Cranial Biopsy, Cirq Alignment Software Cranial sEEG, Varioguide Alignment Software Cranial;Brainlab AG;Neurology;HAW;K191597, K210989, K192703
