Date of Final Decision;Submission Number;Device;Company;Panel (Lead);Primary Product Code;Predicate Device
07.03.2019;K182344;RhythmAnalytics;Biofourmis Singapore Pte. Ltd.;Cardiovascular;DQK;K170568
16.02.2019;K183704;RX-1 Rhythm Express Remote Cardiac Monitoring System;VivaQuant Inc.;Cardiovascular;DXH;K141813
04.02.2019;K181916;d-Nav System;Hygieia, Inc;General Hospital;NDC;K082512
01.02.2019;K183272;AI Rad Companion (Engine);Siemens Medical Solutions USA, Inc.;Radiology;LLZ;K170952
18.01.2019;K183231;SIGNA Premier;GE Medical Systems, LLC;Radiology;LNH;K171128
17.01.2019;K182456;Study Watch;Verily Life Sciences LLC;Cardiovascular;DXH;K171816
09.01.2019;K183133;MRCP+ v1.0;Perspectum Diagnostics Ltd;Radiology;LLZ;K131498
28.12.2018;K180867;AmCAD-UO;AmCad BioMed Corporation;Radiology;LLZ;K141745
27.12.2018;K182564;Quantib ND;Quantib BV;Radiology;LLZ;K173939
27.12.2018;K182130;iSchemaView RAPID;iSchemaView, Inc.;Radiology;LLZ;K172477
21.12.2018;K183012;vascuCAP;Elucid Bioimaging Inc.;Radiology;LLZ;K163071
20.12.2018;K181861;Embrace;Empatica Srl;Neurology;POS;K172935
19.12.2018;K182149;FFRangio System;CathWorks Ltd;Cardiovascular;QEK;K161772
14.12.2018;K182419;Centricity Universal Viewer;GE Healthcare;Radiology;LLZ;K150420
14.12.2018;K182790;Cardio-TriTest v6.5;Cardio-Phoenix Inc.;Cardiovascular;DPS;k143432
06.12.2018;K182373;PowerLook Tomo Detection V2 Software;iCAD Inc.;Radiology;QDQ;DEN180005
06.12.2018;K173749;AMRA Profiler;AMRA Medical AB;Radiology;LNH;first sample
06.12.2018;K182035;FFRct;HeartFlow, Inc;Cardiovascular;PJA;K161772
30.11.2018;K182336;SubtlePET;Subtle Medical, Inc.;Radiology;KPS;K063391
30.11.2018;K182218;FerriSmart Analysis System;Resonance Health Analysis Services Pty Ltd;Radiology;PCS;DEN130012,K124065
29.11.2018;K182181;Persyst 14 EEG Review and Analysis Software;Persyst Development Corporation;Neurology;OMB;first sample
21.11.2018;K181704;Transpara;ScreenPoint Medical BV;Radiology;QDQ;DEN180005
20.11.2018;K181247;Vitrea CT Brain Perfusion;Vital Images, Inc.;Radiology;LLZ;K121213
19.11.2018;K180432;AI-ECG Platform;Shenzhen Carewell Electronics., Ltd;Cardiovascular;DQK;K052883,K113485
16.11.2018;K180343;LensHooke X1 Pro Semen Quality Analyzer, LensHooke X1 Semen Quality Analyzer;Bonraybio Co., Ltd.;Hematology;POV;k021746
06.11.2018;K181939;icobrain;icometrix NV;Radiology;LLZ;K180326
05.11.2018;K181288;Athelas One;Athelas Inc.;Hematology;GKZ;K071967
02.11.2018;K182616;NvisionVLE Imaging System, NvisionVLE Optical Probe, NvisionVLE Inflation System;NinePoint Medical, Inc.;Radiology;NQQ;K153479
26.10.2018;K182177;Accipiolx;MaxQ-Al Ltd.;Radiology;QAS;DEN170073
25.10.2018;K181685;Vivid E80, Vivid E90, Vivid E95;GE Medical Systems Ultrasound and Primary Care Diagnostics;Radiology;IYN;K173341,K082185
17.10.2018;K182034;Arterys MICA;Arterys Inc.;Radiology;LLZ;K171544,K163253,K173542
09.10.2018;K181892;Ziostation2;Ziosoft, Inc.;Radiology;LLZ;K151212
05.10.2018;K182112;Sense System with IBT Electrodes;Infinite Biomedical Technologies, LLC;Neurology;GXY;K162891
28.09.2018;K173872;FibriCheck;Qompium nv;Cardiovascular;DXH;K132206
28.09.2018;K181771;RightEye Vision System;RightEye, LLC;Neurology;GWN;K152915
21.09.2018;K182310;Volpara Imaging Software;Volpara Health Technologies Limited;Radiology;LLZ;K153427
29.08.2018;K181502;Zio AT ECG Monitoring System, ZEUS System;iRhythm Technologies, Inc.;Cardiovascular;DQK;K163512
01.08.2018;K180647;BriefCase;Aidoc Medical, Ltd.;Radiology;QAS;DEN170073
23.07.2018;K173444;Quantitative Total Extensible Imaging (QTxI);AIQ Solutions, Inc.;Radiology;LLZ;K122205
18.07.2018;K173327;DIP/U.S. Urine Analysis Test System;Healthy.io Ltd;Clinical Chemistry;JIL;K111221
10.07.2018;K181572;Workflow Box;Mirada Medical Ltd.;Radiology;QKB;K130393
10.07.2018;K181574;Uscan;EchoNous, Inc.;Radiology;IYO;K160420,K162045
29.06.2018;K180038;NuVasive Pulse System;NuVasive, Incorporated;Neurology;OLO;K162313,K173314,K170011,K172623
26.06.2018;K173574;DenSeeMammo;Statlife;Radiology;LLZ;K152009
14.06.2018;K173780;EchoMD Automated Ejection Fraction Software;Bay Labs, Inc.;Radiology;LLZ;K130779
13.06.2018;K172983;HealthCCS;Zebra Medical Vision Ltd.;Radiology;JAK;K072737,K053347
05.06.2018;K173821;LungQ Software;Thirona Corporation;Radiology;JAK;K083227
25.05.2018;K180163;TransEnterix Senhance Surgical System;TransEnterix, Inc.;Gastroenterology-Urology;NAY;K171120
14.05.2018;K173810;Ventripoint Medical System Plus (VMS+);Ventripoint Diagnostics, Ltd.;Radiology;IYN;K150628
14.05.2018;K180799;Clarius Ultrasound Scanner;Clarius Mobile Health Corp.;Radiology;IYN;K172385,K172162
02.05.2018;K180599;Venue;GE Medical Systems Ultrasound and Primary Care Diagnostics,;Radiology;IYN;K170714,K151028
01.05.2018;K172959;PeraServer and PeraTrend;PeraHealth, Inc.;Cardiovascular;MWI;K124038
20.04.2018;K180161;Viz CTP;Viz.ai, Inc.;Radiology;LLZ;K121447
16.04.2018;K180126;SOZO;ImpediMed Limited;Cardiovascular;OBH;K172122
05.04.2018;K180589;DR 800 with MUSICA Dynamic;Agfa HealthCare N.V.;Radiology;JAA;K140380
15.03.2018;K173839;Tissue of Origin Test Kit-FFPE;Cancer Genetics, Inc.;Clinical Toxcicology;OIW;K120489,k092967
09.03.2018;K173939;Quantib Brain;Quantib BV;Radiology;LLZ;K163013
08.03.2018;K173605;iQMR;Medic Vision - Imaging Solutions Ltd;Radiology;LLZ;K993802
23.02.2018;K170540;DM-Density;Densitas, Inc.;Radiology;LLZ;K132742
08.02.2018;K180091;UNiD Spine Analyzer;Medicrea International;Radiology;LLZ;K170172, K141669
25.01.2018;K173542;Arterys Oncology DL;Arterys Inc.;Radiology;LLZ;K101749
12.01.2018;K173588;Illumeo System;Philips Medical Systems Technologies, Ltd.;Radiology;LLZ;K160315, K162025, K162955
11.01.2018;K171122;CEREC Ortho Software;Dentsply Sirona;Dental;PNN;K152086
08.01.2018;K171328;cNeuro cMRI;Combinostics Oy;Radiology;LLZ;K061855, K161148
04.01.2018;K171056;WAVE Clinical Platform;Excel Medical Electronics, LLC;Cardiovascular;MWI;K140339
27.12.2017;K173420;Radiomics App v1.0;Microsoft Corp.;Radiology;LLZ;K103576
22.12.2017;K172507;SOZO;ImpediMed Limited;Cardiovascular;DSB;K142503
07.11.2017;K163694;Rooti Rx ECG Event Recorder, Rooti Link APP Software;Rooti Labs Ltd.;Cardiovascular;DRG;K123658
27.10.2017;K172803;Infinitt PACS 7.0;Infinitt Healthcare Co.,Ltd.;Radiology;LLZ;K052545
20.10.2017;K163623;Quantra;HOLOGIC, INC.;Radiology;LLZ;K142037
27.09.2017;K171936;Peerbridge Cor(TM) System;Peerbridge Health INc.;Cardiovascular;DSH;K142037, K130785, K071228
15.09.2017;K172356;BladderScan Prime PLUS System;Verathon Incorporated;Radiology;IYO;K153101
14.09.2017;K172385;Clarius Ultrasound System;Clarius Mobile Health Corp.;Radiology;IYN;K163138, K133454
07.09.2017;K170981;NeuroQuant;CorTechs Labs, Inc;Radiology;LLZ;K061855
17.08.2017;K163339;SPECTRALMD DEEPVIEW WOUND IMAGING SYSTEM 2.0;SPECTRALMD, INC.;Cardiovascular;DPT;K124049, K123216
11.08.2017;K172122;SOZO;ImpediMed Limited;Cardiovascular;OBH;K130338
01.08.2017;K171315;Advanced RBC Application;Cella Vision AB;Hematology;JOY;K033840, K092868
26.06.2017;K170568;CardioLogs ECG Analysis Platform;Cardiologs Technologies;Cardiovascular;DPS;K062282
09.06.2017;K170747;syngo Application Software;Siemens Medical Solutions, USA, Inc.;Radiology;LLZ;K163285
07.06.2017;K170250;SmartTarget;SmartTarget, Ltd.;Radiology;LLZ;K153073
24.05.2017;K170172;UNiD Spine Analyzer;MEDICREA INTERNATIONAL;Radiology;LLZ;K141669
11.05.2017;K163622;Lung Vision;BODY VISION MEDICAL LTD.;Radiology;LLZ;K062650
05.05.2017;K163665;MATRx plus;Zephyr Sleep Technologies;Anesthesiology;MNR;K143272
26.04.2017;K170069;AmCAD-UV;AmCad BioMed Corporation;Radiology;LLZ;K132165, K140139,
23.02.2017;K162855;Reveal LINQ;Medtronic, Inc.;Cardiovascular;MXD;K160809
14.02.2017;K162830;SIS Software;Surgical Information Sciences, Inc.;Radiology;LLZ;K050438, K081512
06.01.2017;K163013;Quantib Brain 1.2;Quantib BV;Radiology;LLZ;K153351
05.01.2017;K163253;Arterys Cardio DL;ARTERYS INC.;Radiology;LLZ;K162513, K140587
28.12.2016;K161959;ClearView cCAD;ClearView Diagnostics Inc.;Radiology;LLZ;K050846
07.12.2016;K161322;CT CoPilot;ZEPMED, LLC.;Radiology;LLZ;K061855
30.11.2016;K161834;One Drop Blood Glucose Monitoring System;AgaMatrix, Inc.;Clinical Chemistry;NBW;K152365
30.11.2016;K163138;Clarius Ultrasound System;Clarius Mobile Health Corp.;Radiology;IYN;K151339, K152899, K153626
19.10.2016;K160401;Tyto Stethoscope;Tyto Care Ltd.;Cardiovascular;DQD;K102893, K083903
22.09.2016;K161068;Ahead 300;BRAINSCOPE COMPANY INC;Neurology;PIW;K143643, K150154, K974748
19.09.2016;K161625;PixelShine;ALGOMEDICA;Radiology;LLZ;K100372
09.09.2016;K161201;ClearRead CT;RIVERAIN TECHNOLOGIES, LLC;Radiology;OEB;K143196, K093621, K092363
24.08.2016;K161772;FFRct;HEARTFLOW, INC.;Cardiovascular;PJA;K152733
09.08.2016;K161148;icobrain;Icometrix;Radiology;LLZ;K061855
05.08.2016;K160338;Triton System;GAUSS SURGICAL INC.;General Hospital;PBZ;K130190
28.07.2016;K161382;LVivo Software Application;DIACARDIO, LTD.;Radiology;LLZ;K072090, K091286, K130779
15.07.2016;K160016;Steth IO;STRATOSCIENTIFIC, INC.;Cardiovascular;DQD;K083903
07.07.2016;K160088;Cydar EV;Cydar Ltd.;Radiology;OWB;K151598
17.06.2016;K153351;Quantib Brain 1;QUANTIB BV;Radiology;LLZ;K050703
13.01.2016;K152733;FFRct;HEARTFLOW, INC.;Cardiovascular;PJA;DEN130045
07.01.2016;K153427;Volpara Imaging Software;Matakina Technology LTD;Radiology;LLZ;K152028
21.12.2015;K150817;Dario Blood Glucose Monitoring System;LabStyle Innovations Ltd.;Clinical Chemistry;NBW;K131230
05.11.2015;K150102;SnoreSounds;APPIAN MEDICAL, INC.;Anesthesiology;MNR;first sample
11.06.2015;K142512;Personalized Physiology Analytics Engine software;VGBio, Inc (DBA PhysIQ);Cardiovascular;PLB;K053112, K081140
15.05.2015;K143643;Brainscope Ahead 200;BRAINSCOPE COMPANY, INC.;Neurology;PIW;DEN140025
24.04.2015;K142918;EndoTool SubQ;MONARCH MEDICAL TECHNOLOGIES;Anesthesiology;NDC;K132547, K113853
27.02.2015;K141922;IRIS INTELLIGENT RETINAL IMAGING SYSTEM;INTELLIGENT RETINAL IMAGING SYSTEMS, LLC;Radiology;NFJ;K113696, K122938
10.10.2014;K142037;QUANTRA;HOLOGIC, INC.;Radiology;LLZ;K120472
17.09.2014;K141069;Lung Density Analysis;IMBIO LLC;Radiology;JAK;K083227
22.08.2014;K141480;CVI42;CIRCLE CARDIOVASCULAR IMAGING INC;Radiology;LLZ;K121916
22.04.2014;K133649;HEPATIC VCAR;GE MEDICAL SYSTEMS SCS;Radiology;JAK;K041521
24.01.2014;K133259;YSIO MAX;SIEMENS MEDICAL SOLUTIONS USA, INC.;Radiology;KPR;K081722
21.11.2013;K130831;MALDI BIOTYPER CA (MBT-CA) SYSTEM;BRUKER DALTONICS, INC;Microbiology;PEX;K124067
04.09.2013;K131044;SENSICARDIAC MOBI DIAGNOSTIC HEART MURMUR APPLICATION;DIACOUSTIC MEDICAL DEVICES (PTY) LTD.;Cardiovascular;DQD;K121617
22.03.2013;K120771;UNICEL DXH 800 COULTER CELLULAR ANALYSIS SYSTEM;BECKMAN COULTER, INC.;Hematology;GKZ;K081930
27.12.2012;K123526;CLEARREAD +CONFIRM;RIVERAIN TECHNOLOGIES;Radiology;LLZ;K092363, K092363
27.07.2012;K121617;SENSICARDIAC;DIACOUSTIC MEDICAL (PTY);Cardiovascular;DQD;K083309, K052283, K110704
17.05.2012;K120489;TISSUE OF ORIGIN TEST KIT FFPE;PATHWORK DIAGNOSTICS, INC.;Clinical Toxcicology;OIW;k092967
13.04.2012;K120161;ALPHAPOINT IMAGING SOFTWARE;RADLOGICS, INC.;Radiology;LLZ;K060378
28.12.2011;K111776;DELTAVIEW MODEL 2.1;RIVERAIN MEDICAL GROUP,LLC;Radiology;LLZ;K092363
16.09.2011;K102778;CELLAVISION DM1200 WITH THE BODY FLUID APPLICTION;CELLAVISION AB;Hematology;JOY;K080595
08.06.2010;K092967;PATHWORK TISSUE OF ORIGIN TEST KIT-FFPE (ORIGIN TEST KIT-FFPE;PATHWORK DIAGNOSTICS;Clinical Toxcicology;OIW;K080896
12.05.2010;K092116;EASYCELL CELL LOCATOR;MEDICA CORP.;Hematology;JOY;K033840
05.12.2008;K080595;CELLAVISION DM96 WITH THE BODY FLUID APPLICATION;CELLAVISION AB;Hematology;JOY;K033840
12.09.2008;K082483;QUANTRA;HOLOGIC, INC.;Radiology;LLZ;K050196, K073272
30.07.2008;K080896;PATHWORK DIAGNOSTICS TISSUE OF ORIGIN TEST;PATHWORK DIAGNOSTICS, INC.;Clinical Toxcicology;OIW;K043341
17.07.2008;K081140;VISENSIA;OBS MEDICAL;Cardiovascular;MHX;K030267  , K012451
15.05.2008;K080762;IB NEURO, VERSION 1.0;IMAGING BIOMETRICS, LLC;Radiology;LNH;K073167,K061429,K984224
27.10.2005;K043341;BIOPLEX 2200 ANA SCREEN WITH MEDICAL DECISION SUPPORT SOFTWARE FOR USE WITH BIOPLEX 2200 MULTI-ANALYTE DETECTION SYSTEM;BIO-RAD LABORATORIES, INC.;Clinical Toxcicology;NVI;K941596
10.02.2004;K033840;CELLAVISION DM96 AUTOMATIC HEMATOLOGY ANALYZER;CELLAVISION AB;Hematology;JOY;K003301
15.03.2001;K003301;DIFFMASTER OCTAVIA AUTOMATIC HEMATOLOGY ANALYZER;CELLAVISION AB;Hematology;JOY;K925670/A
